Version Name,Segment,Year,Month,Period,Peril,Large Claim,Incurred Cost,Claims Nos,Earned Exposure
Actual,Aggregators,2016,1,201601,Non Weather,Attritional,3022882,1209,303322
Actual,Aggregators,2016,2,201602,Non Weather,Attritional,3019458,1208,301766
Actual,Aggregators,2016,3,201603,Non Weather,Attritional,3034723,1214,302813
Actual,Aggregators,2016,4,201604,Non Weather,Attritional,3085484,1234,306589
Actual,Aggregators,2016,5,201605,Non Weather,Attritional,3112976,1245,311626
Actual,Aggregators,2016,6,201606,Non Weather,Attritional,3146070,1258,315759
Actual,Aggregators,2016,7,201607,Non Weather,Attritional,3210129,1284,322449
Actual,Aggregators,2016,8,201608,Non Weather,Attritional,3247908,1299,322515
Actual,Aggregators,2016,9,201609,Non Weather,Attritional,3290772,1316,328118
Actual,Aggregators,2016,10,201610,Non Weather,Attritional,3301654,1321,328533
Actual,Aggregators,2016,11,201611,Non Weather,Attritional,3352300,1341,335426
Actual,Aggregators,2016,12,201612,Non Weather,Attritional,3391235,1356,340486
Actual,Aggregators,2017,1,201701,Non Weather,Attritional,3430778,1372,342810
Actual,Aggregators,2017,2,201702,Non Weather,Attritional,3469737,1388,346895
Actual,Aggregators,2017,3,201703,Non Weather,Attritional,3501717,1401,351656
Actual,Aggregators,2017,4,201704,Non Weather,Attritional,3563702,1425,357234
Actual,Aggregators,2017,5,201705,Non Weather,Attritional,3609075,1444,359547
Actual,Aggregators,2017,6,201706,Non Weather,Attritional,3648677,1459,366824
Actual,Aggregators,2017,7,201707,Non Weather,Attritional,3674227,1470,368328
Actual,Aggregators,2017,8,201708,Non Weather,Attritional,3736101,1494,376155
Actual,Aggregators,2017,9,201709,Non Weather,Attritional,3787996,1515,375559
Actual,Aggregators,2017,10,201710,Non Weather,Attritional,3779576,1512,379742
Actual,Aggregators,2017,11,201711,Non Weather,Attritional,3826408,1531,382642
Actual,Aggregators,2017,12,201712,Non Weather,Attritional,3842868,1537,383634
Actual,Aggregators,2018,1,201801,Non Weather,Attritional,3860089,1544,386815
Actual,Aggregators,2018,2,201802,Non Weather,Attritional,3924952,1570,393299
Actual,Aggregators,2018,3,201803,Non Weather,Attritional,3939500,1576,396433
Actual,Aggregators,2018,4,201804,Non Weather,Attritional,3951715,1581,393227
Actual,Aggregators,2018,5,201805,Non Weather,Attritional,4020418,1608,398950
Actual,Aggregators,2018,6,201806,Non Weather,Attritional,4056942,1623,405208
Actual,Aggregators,2018,7,201807,Non Weather,Attritional,4078890,1632,407786
Actual,Aggregators,2018,8,201808,Non Weather,Attritional,4114375,1646,412841
Actual,Aggregators,2018,9,201809,Non Weather,Attritional,3289973,1316,328856
Actual,Aggregators,2018,10,201810,Non Weather,Attritional,3297957,1319,330202
Actual,Aggregators,2018,11,201811,Non Weather,Attritional,3356671,1343,335700
Actual,Aggregators,2018,12,201812,Non Weather,Attritional,3378979,1352,335502
Actual,Aggregators,2016,7,201607,Non Weather,Large,3205136,1282,319770
Actual,Aggregators,2017,12,201712,Non Weather,Large,3819110,1528,382725
Actual,Aggregators,2018,3,201803,Non Weather,Large,3926803,1571,393613
Actual,Aggregators,2018,8,201808,Non Weather,Large,4124350,1650,411978
Actual,Aggregators,2018,9,201809,Non Weather,Large,3275863,1310,327384
Plan,Aggregators,2018,7,201807,Non Weather,Attritional,4118116,1647,413538
Plan,Aggregators,2018,8,201808,Non Weather,Attritional,4137748,1655,416257
Plan,Aggregators,2018,9,201809,Non Weather,Attritional,5393687,2157,539994
Plan,Aggregators,2018,10,201810,Non Weather,Attritional,5485704,2194,548720
Plan,Aggregators,2018,11,201811,Non Weather,Attritional,5511187,2204,555005
Plan,Aggregators,2018,12,201812,Non Weather,Attritional,5590565,2236,560487
Plan,Aggregators,2019,1,201901,Non Weather,Attritional,5633965,2254,565216
Plan,Aggregators,2019,2,201902,Non Weather,Attritional,5671521,2269,570074
Plan,Aggregators,2019,3,201903,Non Weather,Attritional,5713134,2285,571637
Plan,Aggregators,2019,4,201904,Non Weather,Attritional,5714777,2286,572439
