Month,Max_Temp_2018,Mean_Temp_LTA,Mean_Temp_2018,Min_Temp_2018,Rainfall_mm_LTA,Rainfall_mm_2018
Jan,6.7,3.28,4.1,1.4,114.139,133.5
Feb,5.4,3.42,2.4,-0.6,83.534,64.3
Mar,6.9,5.01,3.8,0.8,79.267,104.4
Apr,12.1,7.12,8.4,4.8,68.252,86.3
May,17.2,10.13,12.1,6.9,69.383,48.5
Jun,19.9,12.88,14.8,9.8,69.294,35.4
Jul,22.6,14.67,17.3,12,82.159,55.3
Aug,19.4,14.49,15.3,11.2,92.553,84.9
Sep,16.4,12.41,12.4,8.5,91.921,104.5
Oct,13.3,9.34,9.6,5.9,112.399,104.4
Nov,10.1,5.78,7.3,4.5,115.154,122.6
Dec,8.4,4.01,5.8,3.3,118.906,119.5
